N° Token;N° Match;SMS Token;kothari;Weight;LCSRatio;EditDistance;idf; ;shivhre;Weight;LCSRatio;SmRatio;idf; ;
0;0;wht;what;0.75;0.75;1.0;1.0; ;what;0.643;0.75;0.857;1.0; ;
0;1;wht;white;0.6;0.6;1.0;1.0; ;white;0.45;0.6;0.75;1.0; ;
0;2;wht;why;0.333;0.667;2.0;1.0; ;why;0.222;0.667;0.667;1.0; ;
0;3;wht;who;0.333;0.667;2.0;1.0; ;who;0.222;0.667;0.667;1.0; ;
0;4;wht;wet;0.333;0.667;2.0;1.0; ;wet;0.222;0.667;0.667;1.0; ;

1;0;is;is;1.0;1.0;1.0;1.0; ;is;1.0;1.0;1.0;1.0; ;
1;1;is;ies;0.667;0.667;1.0;1.0; ;ies;0.533;0.667;0.8;1.0; ;
1;2;is;issue;0.4;0.4;1.0;1.0; ;its;0.267;0.667;0.8;1.0; ;
1;3;is;its;0.333;0.667;2.0;1.0; ;isn;0.267;0.667;0.8;1.0; ;
1;4;is;isn;0.333;0.667;2.0;1.0; ;isin;0.167;0.5;0.667;1.0; ;

2;0;a;a;1.0;1.0;1.0;1.0; ;a;1.0;1.0;1.0;1.0; ;
2;1;a;aa;0.5;0.5;1.0;1.0; ;aa;0.333;0.5;0.667;1.0; ;
2;2;a;at;0.25;0.5;2.0;1.0; ;at;0.167;0.5;0.667;1.0; ;
2;3;a;an;0.25;0.5;2.0;1.0; ;an;0.167;0.5;0.667;1.0; ;
2;4;a;as;0.25;0.5;2.0;1.0; ;as;0.167;0.5;0.667;1.0; ;

3;0;dbit;debit;0.8;0.8;1.0;1.0; ;debit;0.711;0.8;0.889;1.0; ;
3;1;dbit;doubt;0.6;0.6;1.0;1.0; ;doubt;0.4;0.6;0.667;1.0; ;
3;2;dbit;debut;0.6;0.6;1.0;1.0; ;debut;0.4;0.6;0.667;1.0; ;
3;3;dbit;diet;0.375;0.75;2.0;1.0; ;diet;0.281;0.75;0.75;1.0; ;
3;4;dbit;debits;0.333;0.667;2.0;1.0; ;debits;0.267;0.667;0.8;1.0; ;

4;0;crd;card;0.75;0.75;1.0;1.0; ;card;0.643;0.75;0.857;1.0; ;
4;1;crd;cord;0.75;0.75;1.0;1.0; ;cord;0.643;0.75;0.857;1.0; ;
4;2;crd;cured;0.6;0.6;1.0;1.0; ;cured;0.45;0.6;0.75;1.0; ;
4;3;crd;car;0.333;0.667;2.0;1.0; ;cards;0.225;0.6;0.75;1.0; ;
4;4;crd;csd;0.333;0.667;2.0;1.0; ;car;0.222;0.667;0.667;1.0; ;

